hour_local,total_records,valid_csi,malformed_csi,heartbeats,mean_csi_per_second_nominal_hour,rssi_mean_dbm,rssi_stddev_db,sampled_csi_mean_amplitude,sampled_csi_rms
2026-08-12T17:00:00+03:00,68692,68252,1,439,18.95888888888889,-75.95720271933348,0.9618216762316093,14.404887624704449,17.316675939527162
2026-08-12T18:00:00+03:00,103212,102492,0,720,28.47,-76.0218358506029,0.14721163582312788,14.138576625729776,17.088791840550407
2026-08-12T19:00:00+03:00,119256,118536,0,720,32.92666666666667,-75.98643450091093,0.47496005200540575,14.166788938896532,17.028137725118633
2026-08-12T20:00:00+03:00,128917,128199,0,718,35.61083333333333,-75.66817213862876,0.4709358074856122,14.106072273816014,16.914891958185333
2026-08-12T21:00:00+03:00,129136,128414,1,720,35.67055555555555,-75.41609949070926,0.49321052546695826,14.119215710901761,16.93934615737844
2026-08-12T22:00:00+03:00,130651,129929,1,720,36.091388888888886,-75.22602344357301,0.41937551298488623,14.241394466975493,17.059697074012842
2026-08-12T23:00:00+03:00,132243,131523,0,720,36.534166666666664,-75.22812739977002,0.42005981053098357,14.233662046451052,17.052465829220196
2026-08-13T00:00:00+03:00,133393,132674,0,719,36.85388888888889,-75.21665134088101,0.4120544989359481,14.21996824945465,17.034777747037687
2026-08-13T01:00:00+03:00,128179,127459,0,720,35.405277777777776,-75.27260530837447,0.4453347469722562,14.01031274522872,16.828874982995302
2026-08-13T02:00:00+03:00,127336,126616,0,720,35.17111111111111,-75.29276710684297,0.45506715941459325,14.164966530557436,17.008000843472747
2026-08-13T03:00:00+03:00,126098,125378,0,720,34.827222222222225,-75.28829619231246,0.4529872510051971,14.19552046289958,17.027203556900243
2026-08-13T04:00:00+03:00,128644,127925,0,719,35.53472222222222,-75.26020715262749,0.4387653410538799,14.20088968306335,17.0370939864078
2026-08-13T05:00:00+03:00,126348,125628,0,720,34.89666666666667,-75.37867354411428,0.4850894053036643,14.059652016567616,16.89465260766604
2026-08-13T06:00:00+03:00,123758,123039,0,719,34.1775,-75.34550833475585,0.47553372684808604,14.128815246329925,16.983830127707147
2026-08-13T07:00:00+03:00,125268,124548,0,720,34.596666666666664,-75.36306484247045,0.48105025027746623,14.09881865076159,16.938846263765466
2026-08-13T08:00:00+03:00,119026,118307,0,719,32.863055555555555,-75.60745348964947,1.1102539019001518,14.140235248325105,16.95772089778946
2026-08-13T09:00:00+03:00,83348,82628,0,720,22.952222222222222,-76.7881710800207,0.7773148689867456,13.599732753800334,16.57972535149545
2026-08-13T10:00:00+03:00,90230,89510,0,719,24.863888888888887,-76.53125907719813,0.79123534392639,13.910468817584132,16.87351093050402
2026-08-13T11:00:00+03:00,96392,95672,0,720,26.575555555555557,-76.81988460573609,0.6180238353453174,14.155044505166336,17.125238479889312
2026-08-13T12:00:00+03:00,92950,92231,1,718,25.619722222222222,-77.37820255662362,0.5415936693297754,13.756387675666053,16.91462801925427
2026-08-13T13:00:00+03:00,103232,102512,2,718,28.475555555555555,-76.85915795223922,1.4524569829119451,13.88971462451647,16.99152536068785
2026-08-13T14:00:00+03:00,98055,97327,4,720,27.03527777777778,-77.18419349204179,1.1985610439694347,13.827350328419557,17.003339316117206
2026-08-13T15:00:00+03:00,163205,162478,4,720,45.132777777777775,-74.84874259899941,1.0068595531685354,14.711272464021086,17.525239109319536
2026-08-13T16:00:00+03:00,145166,144445,1,719,40.12361111111111,-73.92013569178674,0.49481849340257256,14.06032108099763,16.736467258502472
2026-08-13T17:00:00+03:00,56052,55771,1,280,15.491944444444444,-77.24405156801888,1.7236254705789673,21.961411892127842,27.105866445762402
